Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
 (24341)                   2000 AJ87   L4    4.905   5.595  12.04  20201217  305.98  320.0  120.9   14.2  0.066   5.250    21     MPO593498
 (24357)                   2000 AC115  L4    4.990   5.657  11.75  20201217  287.57  195.3  244.7    8.8  0.063   5.324    23     MPO593498
 (24380)                   2000 AA160  L4    4.824   5.690  11.29  20201217  341.31   35.6    9.7    7.2  0.082   5.257    21     MPO593499
 (24390)                   2000 AD177  L4    4.969   5.551  11.68  20201217  241.41  342.7  142.8   12.6  0.055   5.260    25     MPO593499
 (24403)                   2000 AX193  L4    5.127   5.422  11.34  20201217  271.20  327.7  146.5   22.5  0.028   5.274    22     MPO593499
 (24420)                   2000 BU22   L4    4.988   5.600  11.49  20201217  258.81    8.3  113.9    8.5  0.058   5.294    22     MPO593500
 (24426)                   2000 CR12   L4    4.840   5.738  12.17  20201217  318.80  236.3  185.7    7.4  0.085   5.289    21     MPO593500
 (24444)                   2000 OP32   L5    4.866   5.443  11.43  20201217  293.76  355.1  291.4    6.9  0.056   5.154    28     MPO593500
 (24446)                   2000 PR25   L5    4.807   5.653  11.08  20201217  237.36   68.3  287.1   25.3  0.081   5.230    25     MPO593500
 (24448)                   2000 QE42   L5    4.884   5.431  11.47  20201217  238.98  197.9  156.9    8.9  0.053   5.158    26     MPO593500
 (24449)                   2000 QL63   L5    4.965   5.482  11.95  20201217  231.13  219.6  158.5   36.9  0.049   5.223    25     MPO593500
 (24451)                   2000 QS104  L5    4.600   5.973  10.41  20201217  253.15  323.4   28.6   21.4  0.130   5.286    21     MPO593500
 (24452)                   2000 QU167  L5    4.877   5.499  11.90  20201217  176.57  213.3  226.0    6.9  0.060   5.188    26     MPO593500
 (24453)                   2000 QG173  L5    4.879   5.448  11.21  20201217  297.62  355.9  291.7    9.8  0.055   5.164    29     MPO593500
 (24454)                   2000 QF198  L5    4.906   5.228  11.44  20201217  266.42  259.5   95.3    4.2  0.032   5.067    26     MPO593500
 (24456)                   2000 RO25   L5    4.985   5.416  12.02  20201217  258.63  141.4  220.8    8.1  0.041   5.201    27     MPO593500
 (24458)                   2000 RP100  L5    4.740   5.693  11.81  20201217  351.69    2.6  268.4   18.2  0.091   5.216    22     MPO593500
 (24459)                   2000 RF103  L5    4.639   5.892  11.83  20201217  283.64    6.7  307.8   15.5  0.119   5.265    22     MPO593500
 (24467)                   2000 SS165  L5    4.718   5.785  11.84  20201217  289.13   81.6  243.5   16.4  0.102   5.252    25     MPO593500
 (24470)                   2000 SJ310  L5    4.793   5.675  11.01  20201217  298.59   67.4  260.7   24.0  0.084   5.234    22     MPO593500
 (24471)                   2000 SH313  L5    5.080   5.559  11.16  20201217  225.13  139.2  241.7   27.0  0.045   5.319    23     MPO593500
 (24472)                   2000 SY317  L5    4.960   5.414  11.61  20201217  253.22  137.4  237.7   21.2  0.044   5.187    28     MPO593500
 (24479)                   2000 WU157  L4    4.709   5.611  11.81  20201217  265.72   18.8   95.0   21.8  0.087   5.160    23     MPO593501
 (24485)                   2000 YL102  L4    4.924   5.363  11.44  20201217   31.03  190.8  151.3   13.3  0.043   5.143    25     MPO593501
 (24486)                   2000 YR102  L4    4.782   5.575  11.22  20201217   37.94  140.4  190.0    8.3  0.077   5.179    25     MPO593501
 (24498)                   2001 AC25   L4    5.063   5.431  11.98  20201217  226.63  332.9  163.1   13.0  0.035   5.247    22     MPO593501
 (24501)                   2001 AN37   L4    4.641   5.734  11.68  20201217  292.01   89.8  348.6   20.3  0.105   5.188    23     MPO593501
 (24505)                   2001 BZ     L4    4.977   5.497  11.13  20201217   44.61  348.2  348.1   17.5  0.050   5.237    22     MPO593501
 (24506)                   2001 BS15   L4    5.163   5.480  10.76  20201217  266.55  125.0  340.1   11.8  0.030   5.322    21     MPO593501
 (24508)                   2001 BL26   L4    4.804   5.642  12.24  20201217  293.66  332.5   90.0    2.4  0.080   5.223    25     MPO593501
 (24519)                   2001 CH     L4    4.766   5.674  11.62  20201217  240.61  137.3  355.7   13.5  0.087   5.220    21     MPO593501
 (24528)                   2001 CP11   L4    4.696   5.818  11.71  20201217  278.84  320.1  118.7   16.7  0.107   5.257    20     MPO593501
 (24530)                   2001 CP18   L4    4.529   5.752  11.71  20201217  335.95  249.7  149.8   11.4  0.119   5.140    24     MPO593501
 (24531)                   2001 CE21   L4    4.776   5.717  11.73  20201217  285.20  237.0  190.6   22.5  0.090   5.247    27     MPO593501
 (24534)                   2001 CX27   L4    4.773   5.641  11.32  20201217   53.34  305.6   28.8   13.1  0.083   5.207    26     MPO593502
 (24536)                   2001 CN33   L4    4.875   5.536  11.50  20201217  253.18  131.0  354.3   25.9  0.063   5.205    19     MPO593502
 (24537)                   2001 CB35   L4    4.744   5.595  11.18  20201217  336.71   14.9   34.9   18.3  0.082   5.170    26     MPO593502
 (24539)                   2001 DP5    L4    4.864   5.761  12.06  20201217  255.80   91.8   25.0   11.0  0.084   5.312    20     MPO593502
 (24587) Kapaneus          4613 T-2    L4    5.131   5.232  11.49  20201217  219.81  344.1  176.4   29.0  0.010   5.182    27     MPO593502
 (24603) Mekistheus        1973 SQ     L4    4.484   5.842  12.37  20201217  282.94   39.3   43.6    6.6  0.131   5.163    20     MPO593503
 (24882)                   1996 RK30   L4    4.881   5.521  11.59  20201217  266.36  122.1  333.4    7.1  0.062   5.201    22     MPO593507
 (25344)                   1999 RN72   L5    4.950   5.673  11.71  20201217  293.67  162.5  157.7   19.8  0.068   5.311    22     MPO593515
 (25347)                   1999 RQ116  L5    4.868   5.623  11.66  20201217  252.25  163.9  184.9   17.4  0.072   5.245    24     MPO593515
 (25883)                   2000 RD88   L5    5.026   5.253  11.33  20200531  350.95   26.6  230.7   18.7  0.022   5.140    28     E2020-QM5
 (25895)                   2000 XN9    L4    4.820   5.608  11.19  20201217  134.72  168.1   70.5   21.6  0.076   5.214    23     MPO593522
 (25910)                   2001 BM50   L4    5.059   5.313  11.86  20201217   20.48  308.7   60.9   19.6  0.025   5.186    26     MPO593522
 (25911)                   2001 BC76   L4    5.022   5.464  11.72  20201217  283.08  259.2  208.2   21.4  0.042   5.243    25     MPO593522
 (25937)                   2001 DY92   L4    4.959   5.646  12.2   20201217  300.96   52.7   25.7    2.4  0.065   5.302    18     MPO493016
 (25938)                   2001 DC102  L4    4.301   5.984  12.12  20201217  279.68  102.3   13.8   12.8  0.164   5.143    18     MPO593523
 (26057) Ankaios           4742 T-2    L4    4.621   5.768  12.25  20201217  288.67  269.4  164.3    7.3  0.110   5.194    22     MPO593525
 (26486)                   2000 AQ231  L4    4.913   5.629  12.2   20201217  249.95  122.4   10.7    1.4  0.068   5.271    20     MPO505676
 (26510)                   2000 CZ34   L4    4.850   5.728  12.4   20201217  329.62  269.6  141.9    5.5  0.083   5.289    18     MPO505676
 (26601)                   2000 FD1    L4    4.785   5.758  11.40  20201217  317.27   16.8   41.2   23.4  0.092   5.271    23     MPO593532
 (26705)                   2001 FL145  L4    4.761   5.690  12.04  20201217  315.02   26.4   52.7   11.8  0.089   5.225    23     MPO593534
 (26763) Peirithoos        2706 P-L    L4    4.977   5.707  12.54  20201217  333.03  305.1  100.2    1.2  0.068   5.342    19     MPO593535
 (28958)                   2001 CQ42   L4    4.853   5.738  12.20  20201217  301.02  286.2  147.8    8.2  0.084   5.295    21     MPO593566
 (28960)                   2001 DZ81   L4    5.125   5.508  12.71  20201217  355.69   31.9  339.6    2.8  0.036   5.317    20     MPO593566
 (29196) Dius              1990 YY     L5    4.985   5.526  11.99  20201217  132.19   39.2   67.6    3.9  0.051   5.256    21     MPO593570
 (29314) Eurydamas         1994 CR18   L5    4.897   5.683  11.57  20201217  341.43  134.0  143.4   15.2  0.074   5.290    24     MPO593572
 (29603)                   1998 MO44   L5    4.965   5.320  11.24  20201217  290.23  189.8  113.6   33.4  0.035   5.143    26     MPO593577
 (29976)                   1999 NE9    L5    5.110   5.206  10.98  20201217  190.45  109.5  318.9   30.1  0.009   5.158    20     MPO593583
 (29977)                   1999 NH11   L5    4.758   5.692  11.26  20201217  310.78  156.0  134.0   24.0  0.089   5.225    27     MPO593583
 (30020)                   2000 DZ5    L4    5.027   5.531  12.02  20201217  331.59  328.6   80.1   16.7  0.048   5.279    22     MPO593584
 (30102)                   2000 FC1    L4    5.036   5.479  10.87  20201217   50.93  282.2   42.2   23.7  0.042   5.257    23     MPO593585
 (30498)                   2000 QK100  L5    4.808   5.759  11.83  20201217  250.47  242.1  107.4    4.7  0.090   5.283    23     MPO593591
 (30499)                   2000 QE169  L5    4.882   5.465  12.11  20201217  238.41  107.5  267.0    3.9  0.056   5.174    22     MPO593591
 (30504)                   2000 RS80   L5    4.893   5.549  11.38  20201217   24.61  287.1  296.7    5.3  0.063   5.221    26     MPO593591
 (30505)                   2000 RW82   L5    4.788   5.628  11.63  20201217  223.50  195.8  202.6   28.7  0.081   5.208    23     MPO593591
 (30506)                   2000 RO85   L5    4.709   5.543  11.07  20201217  257.80   11.3  343.4   20.1  0.081   5.126    22     MPO593591
 (30508)                   2000 SZ130  L5    4.876   5.349  12.11  20201217  292.26  102.6  229.3   17.2  0.046   5.112    21     MPO593592
 (30510)                   2001 DM44   L4    4.600   5.942  12.07  20201217  344.96   48.6  342.7   11.4  0.127   5.271    19     MPO593592
 (30698) Hippokoon         2299 T-3    L5    4.841   5.514  12.04  20201217  281.11  101.1  216.3    7.9  0.065   5.178    21     MPO593594
 (30704) Phegeus           3250 T-3    L5    5.041   5.451  11.30  20201217  322.27  283.0   20.5   14.9  0.039   5.246    20     MPO593595
 (30705) Idaios            3365 T-3    L5    4.885   5.509  10.50  20201217  227.02  341.8   24.2   19.8  0.060   5.197    25     MPO593595
 (30708) Echepolos         4101 T-3    L5    5.142   5.268  11.85  20201217  186.38   20.1   29.4   24.2  0.012   5.205    25     MPO593595
 (30791)                   1988 RY11   L5    4.903   5.539  12.15  20201217  201.62  232.8  164.5   24.7  0.061   5.221    22     MPO593596
 (30792)                   1988 RP12   L5    5.038   5.412  12.41  20201217   24.67   63.7  157.5    4.4  0.036   5.225    21     MPO593596
 (30793)                   1988 SJ3    L5    4.922   5.551  12.18  20201217  215.76  292.5   88.8   21.0  0.060   5.236    23     MPO593596
 (30806)                   1989 UP5    L5    5.060   5.420  12.73  20201217   53.39   92.9   98.6    2.1  0.034   5.240    19     MPO593596
 (30807)                   1989 UQ5    L5    4.887   5.487  12.06  20201217  335.52  120.0  170.2    4.7  0.058   5.187    22     MPO593596
 (30942) Helicaon          1994 CX13   L5    4.858   5.534  11.41  20201217  210.19  271.2  143.5   22.9  0.065   5.196    21     MPO593599
 (31037) Mydon             1996 HZ25   L5    4.563   5.932  12.13  20201217   27.31   28.5  188.8    7.3  0.130   5.247    24     MPO593600
 (31342)                   1998 MU31   L5    4.822   5.627  10.56  20201217  315.80  191.5  103.0   24.4  0.077   5.224    23     MPO593605
 (31344) Agathon           1998 OM12   L5    5.144   5.551  10.96  20201217  248.03  325.5   27.3    7.5  0.038   5.347    21     MPO593605
 (31806)                   1999 NE11   L5    4.697   5.691  11.68  20201217  286.16  193.0  136.7   34.1  0.096   5.194    25     MPO593613
 (31814)                   1999 RW70   L5    4.950   5.699  12.20  20201217  285.16    0.9  326.3    4.4  0.070   5.325    20     MPO593613
 (31819)                   1999 RS150  L5    5.196   5.277  11.43  20201217    5.67  276.7  348.7   14.3  0.008   5.237    20     MPO593613
 (31820)                   1999 RT186  L5    4.877   5.716  12.16  20201217  335.45   90.2  193.3    2.4  0.079   5.296    22     MPO593613
 (31821)                   1999 RK225  L5    4.918   5.558  12.06  20201217  285.56  177.5  146.7   10.8  0.061   5.238    21     MPO593613
 (31835)                   2000 BK16   L4    4.862   5.396  11.56  20201217  315.37  350.8   74.8   15.1  0.052   5.129    21     MPO593613
 (32339)                   2000 QA88   L5    4.645   5.790  11.68  20201217  157.91  274.6  172.5   18.9  0.110   5.217    25     MPO593621
 (32356)                   2000 QM124  L5    4.395   6.025  12.07  20201217  296.23  343.5  329.4   12.7  0.156   5.210    20     MPO593622
 (32370)                   2000 QY151  L5    4.863   5.455  12.38  20201217  296.98  352.1  333.0    7.4  0.057   5.159    20     MPO593622
 (32396)                   2000 QY213  L5    4.548   5.896  12.22  20201217  247.85  231.8  124.5    3.9  0.129   5.222    23     MPO593622
 (32397)                   2000 QL214  L5    5.192   5.290  11.56  20201217  316.09  166.8  116.0    5.6  0.009   5.241    24     MPO593622
 (32420)                   2000 RS40   L5    4.957   5.693  11.77  20201217  282.28  359.0  314.0   13.9  0.069   5.325    22     MPO593623
 (32430)                   2000 RQ83   L5    5.020   5.614  11.96  20201217  275.81   75.0  255.6    6.8  0.056   5.317    25     MPO593623
 (32434)                   2000 RW96   L5    4.432   5.970  11.82  20201217  252.75  103.3  256.4   23.5  0.148   5.201    23     MPO593623
 (32435)                   2000 RZ96   L5    4.558   5.881  11.20  20201217  323.25  343.9  280.7   21.7  0.127   5.219    22     MPO593623
 (32437)                   2000 RR97   L5    4.554   5.842  11.28  20201217  305.17   30.1  269.3   23.1  0.124   5.198    23     MPO593623
 (32440)                   2000 RC100  L5    5.014   5.286  11.4   20201217  315.87  352.8  319.3   31.4  0.026   5.150    24     MPO474176
 (32451)                   2000 SP25   L5    4.699   5.741  11.81  20201217  275.28   64.8  248.1   19.7  0.100   5.220    21     MPO593623
 (32461)                   2000 SP93   L5    4.796   5.503  11.90  20201217  278.05  146.7  188.8   30.9  0.069   5.149    18     MPO593624
 (32464)                   2000 SB132  L5    5.153   5.329  11.71  20201217  119.72  264.7  234.9   25.2  0.017   5.241    22     MPO593624
 (32467)                   2000 SL174  L5    5.095   5.359  11.82  20201217  228.82  189.5  218.7   29.7  0.025   5.227    24     MPO593624
 (32471)                   2000 SK205  L5    5.050   5.584  12.20  20201217  314.08  163.6  147.8    2.7  0.050   5.317    24     MPO593624
 (32475)                   2000 SD234  L5    4.709   5.712  10.83  20201217  300.98  286.3   18.8   30.7  0.096   5.211    20     MPO593624
 (32478)                   2000 SV289  L5    4.341   6.090  12.04  20201217  339.78  277.9  341.1    9.7  0.168   5.216    22     MPO593624
 (32480)                   2000 SG348  L5    4.760   5.732  11.32  20201217  269.07  207.1  127.9   21.6  0.093   5.246    22     MPO593624
 (32482)                   2000 ST354  L5    4.998   5.280  11.07  20201217  340.16  218.8   52.8   12.1  0.027   5.139    24     MPO593624
 (32496)                   2000 WX182  L5    4.861   5.693  10.31  20201217  281.41  274.2   65.9   30.5  0.079   5.277    21     MPO593624
 (32498)                   2000 XX37   L4    4.685   5.694  11.56  20201217  278.27  359.7   76.7   26.3  0.097   5.190    22     MPO593624
 (32499)                   2000 YS11   L5    4.334   6.014  10.59  20201217  281.22  245.2   68.7   16.8  0.162   5.174    25     MPO593624
 (32501)                   2000 YV135  L5    4.852   5.581  11.03  20201217   18.77  179.9   55.7   32.1  0.070   5.217    24     MPO593624
 (32513)                   2001 OL31   L5    4.871   5.510  11.50  20201217  208.49  110.0  266.1   25.4  0.062   5.190    22     MPO593624
 (32615)                   2001 QU277  L5    4.990   5.334  11.11  20201217  249.24  224.9  100.4   17.5  0.033   5.162    23     MPO593626
 (32720) Simoeisios        2131 T-3    L5    5.113   5.275  12.00  20201217  338.49   23.4  248.0    7.5  0.016   5.194    20     MPO593628
 (32726) Chromios          4179 T-3    L5    5.185   5.296  12.08  20201217  142.69   36.5   76.8    5.1  0.011   5.241    29     MPO593628
 (32794)                   1989 UE5    L5    4.902   5.527  12.64  20201217   73.95  348.0  200.2   15.1  0.060   5.214    22     MPO593629
 (32811) Apisaon           1990 TP12   L5    4.857   5.688  11.33  20201217   51.85  158.7   50.5   19.8  0.079   5.273    25     MPO593629
 (33822)                   2000 AA231  L4    4.350   6.042  11.88  20201217  234.21   21.8  112.6   17.4  0.163   5.196    18     MPO593645
 (34298)                   2000 QH159  L5    4.526   5.817  12.38  20201217  222.52  178.1  212.5    9.7  0.125   5.172    23     MPO593653
 (34521)                   2000 SA191  L5    4.722   5.477  11.58  20201217  290.15  318.1    4.9   17.5  0.074   5.100    23     MPO593657
 (34553)                   2000 SV246  L5    5.007   5.554  12.07  20201217  208.80   19.4   22.1   14.9  0.052   5.280    22     MPO593657
 (34642)                   2000 WN2    L5    4.701   5.730  10.83  20201217  291.43  266.4   45.2   19.6  0.099   5.215    22     MPO593659
 (34684)                   2001 CJ28   L4    4.551   5.868  11.88  20201217  333.53  272.9  118.2   21.2  0.126   5.210    22     MPO593659
 (34746)                   2001 QE91   L5    4.959   5.359   9.94  20201217  305.52  196.8   93.3   27.4  0.039   5.159    24     MPO593660
 (34785)                   2001 RG87   L5    4.940   5.349  11.63  20201217  308.47   89.3  198.9   20.3  0.040   5.144    26     MPO593661
 (34835)                   2001 SZ249  L5    4.874   5.749  12.52  20201217  313.43  130.3  138.4    3.5  0.082   5.311    23     MPO593662
 (34993) Euaimon           1973 SR1    L4    4.856   5.435  12.3   20201217  275.03   47.9   40.3    8.9  0.056   5.146    20     MPO493096
 (35272)                   1996 RH10   L4    4.779   5.574  12.07  20201217  234.42  341.8  158.7   17.6  0.077   5.177    23     MPO593669
 (35276)                   1996 RS25   L4    4.762   5.546  11.70  20201217   22.00  358.2  354.1   13.0  0.076   5.154    19     MPO593669
 (35277)                   1996 RV27   L4    5.061   5.417  11.85  20201217  193.22  183.4  345.7   20.0  0.034   5.239    19     MPO593669
 (35363)                   1997 TV28   L4    4.779   5.598  11.89  20201217  316.91   23.9   32.9   16.0  0.079   5.189    22     MPO593670
 (35672)                   1998 UZ14   L4    4.962   5.341  12.38  20201217  277.55    5.1   75.8    4.0  0.037   5.151    21     MPO593676
 (35673)                   1998 VQ15   L4    4.868   5.312  11.60  20201217  326.67  358.4   43.2    9.9  0.044   5.090    20     MPO593676
 (36259)                   1999 XM74   L4    4.746   5.703  11.44  20201217  249.37   15.5   91.6   18.9  0.092   5.224    20     MPO593686
 (36265)                   1999 XV156  L4    5.050   5.297  12.04  20201217  205.64   41.3  124.0    6.1  0.024   5.173    21     MPO593686
 (36267)                   1999 XB211  L4    4.700   5.659  10.82  20201217   40.59   10.0  317.1   19.7  0.093   5.180    21     MPO593686
 (36268)                   1999 XT213  L4    4.924   5.357  12.13  20201217  305.16  296.2  119.9   11.0  0.042   5.140    19     MPO593686
 (36269)                   1999 XB214  L4    4.903   5.576  11.61  20201217  273.50  319.1  131.4   18.0  0.064   5.239    21     MPO593686
 (36270)                   1999 XS248  L4    4.851   5.527  11.88  20201217  232.64  266.2  222.9    8.9  0.065   5.189    19     MPO593686
 (36271)                   2000 AV19   L4    4.940   5.458  11.92  20201217  264.48   24.3   72.4   11.7  0.050   5.199    21     MPO593686
 (36279)                   2000 BQ5    L4    4.780   5.847  11.19  20201217  285.89    7.0   75.5   31.1  0.100   5.314    19     MPO593686
 (36425)                   2000 PM5    L5    4.788   5.582  12.30  20201217  171.23  251.0  166.6    6.2  0.077   5.185    21     MPO593688
 (36624)                   2000 QA157  L5    5.046   5.277  11.54  20201217  295.43  345.1  316.1   26.3  0.022   5.161    22     MPO593692
 (36922)                   2000 SN209  L5    5.041   5.493  11.79  20201217  319.07  221.8   76.5   10.4  0.043   5.267    21     MPO593697
 (37281)                   2000 YA61   L4    4.759   5.393  12.16  20201217  317.82  290.4  133.6    5.8  0.062   5.076    21     MPO593703
 (37297)                   2001 BQ77   L4    4.846   5.649  11.66  20201217  231.32  255.9  250.9   20.8  0.076   5.247    23     MPO593703
 (37298)                   2001 BU80   L4    5.045   5.190  11.79  20201217  106.50  111.9  171.2   13.7  0.014   5.118    26     MPO593703
 (37299)                   2001 CN21   L4    4.634   5.691  11.65  20201217  280.50  128.2  321.8   29.7  0.102   5.163    16     MPO593703
 (37300)                   2001 CW32   L4    4.946   5.347  12.01  20201217  279.34   90.5    7.5   21.5  0.039   5.147    20     MPO593703
 (37301)                   2001 CA39   L4    4.909   5.451  11.83  20201217  220.36  168.1  346.2   20.3  0.052   5.180    20     MPO593703
 (37519) Amphios           3040 T-3    L5    5.176   5.242  11.10  20200531  276.39  290.2   30.4   25.5  0.006   5.209    23     E2020-QM5
 (37572)                   1989 UC5    L5    4.480   5.986  13.23  20200531  199.88  160.0  211.9    9.4  0.144   5.233    18     E2020-QM5
 (37685)                   1995 OU2    L4    4.568   5.892  11.90  20201217   12.46  171.9  179.2   10.1  0.127   5.230    24     MPO593708
 (37710)                   1996 RD12   L4    4.809   5.652  12.47  20201217  283.66   78.2    3.6    9.6  0.081   5.231    18     MPO593708
 (37714)                   1996 RK29   L4    4.182   6.114  12.25  20201217   49.31  244.2   96.4    4.5  0.188   5.148    22     MPO593708
 (37715)                   1996 RN31   L4    5.031   5.284  12.15  20201217  237.11  337.6  173.8    8.9  0.024   5.158    21     MPO593708
 (37716)                   1996 RP32   L4    4.823   5.521  12.42  20201217   13.49  304.7   52.3    4.3  0.067   5.172    24     MPO593708
 (37732)                   1996 TY68   L4    5.101   5.375  11.9   20201217  129.00  245.0    0.9   15.5  0.026   5.238    18     MPO505780
 (37789)                   1997 UL16   L4    5.214   5.316  13.1   20201217  264.06  200.8  264.2    0.5  0.010   5.265    17     MPO505781
 (37790)                   1997 UX26   L4    4.804   5.708  12.81  20201217  313.80  254.1  160.1    9.5  0.086   5.256    20     MPO593709
 (38050)                   1998 VR38   L4    4.797   5.602   9.98  20201217  295.16  192.4  233.5   28.5  0.077   5.199    23     MPO593712
 (38051)                   1998 XJ5    L4    4.209   6.135  11.94  20201217  290.80   25.3   60.0    8.7  0.186   5.172    17     MPO593712
 (38052)                   1998 XA7    L4    5.036   5.419  12.73  20201217  305.60  264.4  147.7    1.8  0.037   5.227    21     MPO593712
 (38257)                   1999 RC13   L5    4.585   5.840  12.11  20201217  332.78  122.9  160.5   14.8  0.120   5.213    24     MPO593715
 (38574)                   1999 WS4    L4    4.601   5.685  11.76  20201217  259.23  170.3  300.9    7.2  0.105   5.143    20     MPO593720
 (38585)                   1999 XD67   L4    4.590   5.710  12.36  20201217  272.56  201.6  242.0    5.8  0.109   5.150    20     MPO593720
 (38592)                   1999 XH162  L4    4.800   5.716  11.81  20201217  273.79   59.1   24.6   15.8  0.087   5.258    20     MPO593720
 (38594)                   1999 XF193  L4    4.981   5.499  12.12  20201217  278.61  111.6  324.7    8.9  0.049   5.240    18     MPO593720
 (38596)                   1999 XP199  L4    4.816   5.462  12.45  20201217  288.39   65.4   22.0    6.5  0.063   5.139    20     MPO593720
 (38597)                   1999 XU200  L4    4.638   5.913  12.08  20201217  254.88   35.7   72.5   16.8  0.121   5.276    19     MPO593720
 (38598)                   1999 XQ208  L4    4.895   5.408  12.46  20201217  276.14   64.3   44.3   11.6  0.050   5.152    20     MPO593721
 (38599)                   1999 XC210  L4    4.751   5.682  11.90  20201217  288.71   38.6   34.4   14.5  0.089   5.217    20     MPO593721
 (38600)                   1999 XR213  L4    4.994   5.357  11.76  20201217  247.88    1.8  111.0    9.9  0.035   5.176    21     MPO593721
 (38606)                   1999 YC13   L4    4.832   5.464  11.8   20201217  289.76   18.5   80.3   18.3  0.061   5.148    18     MPO493120
 (38607)                   2000 AN6    L4    5.084   5.399  11.7   20201217  271.16    6.9  112.6   13.9  0.030   5.242    19     MPO493120
 (38609)                   2000 AB26   L4    4.696   5.867  12.20  20201217  274.18  348.8  100.4   11.6  0.111   5.282    18     MPO593721
 (38610)                   2000 AU45   L4    5.160   5.296  11.56  20201217  149.76  306.2  270.7   14.1  0.013   5.228    22     MPO593721
 (38611)                   2000 AS74   L4    4.529   5.857  12.30  20201217  265.86  355.5  107.5    8.4  0.128   5.193    18     MPO593721
 (38614)                   2000 AA113  L4    5.134   5.398  12.00  20201217  257.98  347.4  134.4   17.2  0.025   5.266    20     MPO593721
 (38615)                   2000 AV121  L4    4.332   6.011  12.38  20201217  322.15  141.4  270.4    4.0  0.162   5.172    19     MPO593721
 (38617)                   2000 AY161  L4    4.981   5.424  12.07  20201217   10.13  279.8   86.6   12.8  0.043   5.202    20     MPO593721
 (38619)                   2000 AW183  L4    4.364   5.990  11.68  20201217  318.37  262.4  149.4   14.1  0.157   5.177    20     MPO593721
 (38621)                   2000 AG201  L4    4.773   5.568  12.1   20201217  332.23  252.7  147.5   14.0  0.077   5.170    20     MPO505786
 (39229)                   2000 YJ30   L4    4.366   6.037  12.60  20201217  246.38   96.7   30.4    7.2  0.161   5.202    15     MPO593731
 (39264)                   2000 YQ139  L4    4.872   5.619  10.87  20201217  326.98  206.3  207.2   18.2  0.071   5.246    24     MPO593732
 (39270)                   2001 AH11   L4    4.796   5.570  12.20  20201217  258.21  230.9  238.5    5.4  0.075   5.183    20     MPO593732
 (39275)                   2001 AV37   L4    4.791   5.675  12.15  20201217  267.64   23.3   84.3   18.0  0.085   5.233    18     MPO593732
 (39278)                   2001 BK9    L4    4.836   5.689  11.90  20201217  295.77   38.5   27.6    6.0  0.081   5.263    20     MPO593732
 (39280)                   2001 BE24   L4    4.848   5.526  11.98  20201217  286.40  123.6  310.4   12.0  0.065   5.187    18     MPO593732
 (39284)                   2001 BB62   L4    4.940   5.444  12.04  20201217  259.19  258.9  228.8    9.0  0.049   5.192    20     MPO593732
 (39285)                   2001 BP75   L4    4.755   5.583  12.56  20201217  291.20  128.0  330.7    6.5  0.080   5.169    18     MPO593732
 (39286)                   2001 CX6    L4    4.911   5.652  12.22  20201217  289.64  359.2   79.2    4.6  0.070   5.282    18     MPO593732
 (39287)                   2001 CD14   L4    4.889   5.310  12.64  20201217  340.52    6.8   47.9    5.2  0.041   5.100    22     MPO593732
 (39288)                   2001 CD21   L4    5.004   5.548  12.51  20201217  234.34  163.7  325.9    1.9  0.052   5.276    19     MPO593732
 (39289)                   2001 CT28   L4    5.015   5.486  12.2   20201217  253.48   97.9   28.0   10.0  0.045   5.251    18     MPO505790
 (39292)                   2001 DS4    L4    4.536   6.010  12.53  20201217  241.67   50.1   82.8    9.4  0.140   5.273    17     MPO593732
 (39293)                   2001 DQ10   L4    5.007   5.408  11.96  20201217  332.25  235.5  152.9   14.4  0.038   5.207    22     MPO593732
 (39362)                   2002 BU1    L4    4.797   5.420  11.97  20200531  260.05  283.3  180.5    9.7  0.061   5.109    21     E2020-QM5
 (39369)                   2002 CE13   L4    4.859   5.465  11.07  20200531  100.36  262.4  354.6   18.2  0.059   5.162    25     E2020-QM5
 (39463) Phyleus           1973 SZ     L4    4.729   5.630  12.51  20201217  337.71  277.7  143.5    5.8  0.087   5.180    22     MPO593733
 (39474)                   1978 VC7    L5    4.796   5.737  11.74  20201217  313.62  220.0   71.6   13.1  0.089   5.266    23     MPO593734
 (39691)                   1996 RR31   L4    4.767   5.699  12.66  20200531  290.84  278.2  156.6    2.4  0.089   5.233    17     E2020-QM5
 (39692)                   1996 RB32   L4    4.889   5.444  12.4   20201217   51.79  171.7  136.6    6.9  0.054   5.166    20     MPO493126
 (39693)                   1996 ST1    L4    5.147   5.257  12.38  20200531   35.05  131.7  203.9    6.5  0.011   5.202    20     E2020-QM5
 (39793)                   1997 SZ23   L4    4.859   5.533  12.6   20201217  270.33   95.7   22.1   15.0  0.065   5.196    15     MPO505793
 (39794)                   1997 SU24   L4    5.014   5.321  12.29  20201217  331.28   30.8   28.9   15.5  0.030   5.168    21     MPO593735
 (39795)                   1997 SF28   L4    4.663   5.660  12.54  20201217  323.20   79.9  344.9    6.7  0.096   5.162    18     MPO593735
 (39797)                   1997 TK18   L4    4.752   5.592  12.2   20201217  214.96  125.3   27.2   15.0  0.081   5.172    17     MPO493126
 (39798)                   1997 TW28   L4    4.640   5.724  12.57  20201217  339.86  351.0   39.4    8.0  0.105   5.182    21     MPO593735
