Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
  (3596) Meriones          1985 VO     L4    4.793   5.557   9.28  20201217  324.86   66.0  356.7   23.5  0.074   5.175    30     MPO593151
  (3708)                   1974 FV1    L5    4.385   6.042   9.38  20201217  259.58   57.5  291.2   13.4  0.159   5.214    32     MPO593153
  (3709) Polypoites        1985 TL3    L4    4.908   5.561   9.13  20201217  285.53  246.4  187.1   19.6  0.062   5.234    31     MPO593153
  (3793) Leonteus          1985 TE3    L4    4.752   5.687   8.89  20201217  278.35  262.3  200.5   20.9  0.089   5.219    35     MPO593155
  (3794) Sthenelos         1985 TF3    L4    4.438   5.967  10.52  20201217  356.41   35.9  343.2    6.1  0.147   5.203    31     MPO593155
  (3801) Thrasymedes       1985 VS     L4    5.198   5.451  11.14  20201217  311.50  204.6  209.5   28.5  0.024   5.325    29     MPO593155
  (4007) Euryalos          1973 SR     L4    4.888   5.472  10.38  20201217  298.26   77.0    6.8   11.0  0.056   5.180    28     MPO593159
  (4035)                   1986 WD     L4    4.979   5.585   9.63  20201217  294.38  197.8  233.7   12.1  0.057   5.282    30     MPO593159
  (4057) Demophon          1985 TQ     L4    4.624   5.886  10.26  20201217  279.19   59.2   24.3    2.9  0.120   5.255    28     MPO593160
  (4060) Deipylos          1987 YT1    L4    4.439   6.057   9.48  20200531  232.72  307.2  168.2   16.2  0.154   5.248    31     E2020-QM5
  (4063) Euforbo           1989 CG2    L4    4.570   5.801   8.86  20200531  291.58  318.3  113.5   18.9  0.119   5.186    31     E2020-QM5
  (4068) Menestheus        1973 SW     L4    4.771   5.522   9.70  20200531  210.61  316.4  177.7   17.6  0.073   5.146    28     E2020-QM5
  (4086) Podalirius        1985 VK2    L4    4.625   5.902   9.29  20200531  320.17  356.6   55.0   21.7  0.121   5.263    28     E2020-QM5
  (4138) Kalchas           1973 SM     L4    4.937   5.396  10.11  20201217    6.81  164.9  208.0    2.1  0.044   5.167    33     MPO593160
